indicator,type,risk,stamp_added,stamp_updated,stamp_seen,stamp_retired,reference,geo_city,geo_country,geo_countrycode,geo_org,dns_ptr
ns1.torpig-sinkhole.org,domain,none,,"2023-01-13 03:49:07","2023-01-13 03:49:07",,https://pulsedive.com/indicator/?iid=157724,[privacy],[privacy],,[privacy],
torpig-sinkhole.org,domain,unknown,,"2023-01-13 03:49:05","2023-01-13 03:49:05",,https://pulsedive.com/indicator/?iid=157725,[privacy],[privacy],,[privacy],
ns2.torpig-sinkhole.org,domain,none,,"2023-01-13 03:49:07","2023-01-13 03:49:07",,https://pulsedive.com/indicator/?iid=157726,[privacy],[privacy],,[privacy],
mx1.torpig-sinkhole.org,domain,unknown,,"2023-01-13 03:49:06","2023-01-13 03:49:06",,https://pulsedive.com/indicator/?iid=6941121,[privacy],[privacy],,[privacy],
mx.torpig-sinkhole.org,domain,unknown,,"2023-01-13 03:49:06","2023-01-13 03:49:06",,https://pulsedive.com/indicator/?iid=6941123,[privacy],[privacy],,[privacy],
mx2.torpig-sinkhole.org,domain,unknown,,"2023-01-13 03:49:08","2023-01-13 03:49:08",,https://pulsedive.com/indicator/?iid=6941124,[privacy],[privacy],,[privacy],
wesmailer.com,domain,unknown,,"2023-01-13 03:47:39","2023-01-13 03:47:39",,https://pulsedive.com/indicator/?iid=25385466,"REDACTED FOR PRIVACY","United States of America",US,,
manga-kensei.com,domain,unknown,,"2023-01-13 03:48:52","2023-01-13 03:48:52",,https://pulsedive.com/indicator/?iid=25414096,[privacy],[privacy],,[privacy],
toptechny.com,domain,unknown,,"2023-01-13 03:49:02","2023-01-13 03:49:02",,https://pulsedive.com/indicator/?iid=25433443,"REDACTED FOR PRIVACY","United States of America",US,,
finaljudgedomain.com,domain,unknown,,"2023-01-13 03:48:48","2023-01-13 03:48:48",,https://pulsedive.com/indicator/?iid=25468494,"REDACTED FOR PRIVACY","United States of America",US,,
retrmailse.com,domain,unknown,,"2023-01-13 03:49:08","2023-01-13 03:49:08",,https://pulsedive.com/indicator/?iid=25491919,[privacy],[privacy],,[privacy],
aisviua77s.xyz,domain,low,,"2022-10-14 21:47:41","2022-10-14 21:47:41",,https://pulsedive.com/indicator/?iid=39405958,,Switzerland,CH,,
aghbh73ehefiv787ywe8ads.com,domain,unknown,,"2022-10-14 21:47:33","2022-10-14 21:47:33",,https://pulsedive.com/indicator/?iid=39405990,,,,,
_udp.torpig-sinkhole.org,domain,unknown,,"2022-10-14 21:47:29","2022-10-14 21:47:29",,https://pulsedive.com/indicator/?iid=40001238,[privacy],[privacy],,[privacy],
_sip._udp.torpig-sinkhole.org,domain,unknown,,"2022-10-14 21:47:36","2022-10-14 21:47:36",,https://pulsedive.com/indicator/?iid=40001239,[privacy],[privacy],,[privacy],
www.aghbh73ehefiv787ywe8ads.com,domain,unknown,,"2022-10-14 21:47:39","2022-10-14 21:47:39",,https://pulsedive.com/indicator/?iid=40001240,,,,,
www.aisviua77s.xyz,domain,low,,"2022-10-14 21:47:43","2022-10-14 21:47:43",,https://pulsedive.com/indicator/?iid=40001241,,Switzerland,CH,,
aosuyiybiube897yehi78.xyz,domain,low,,"2022-11-19 12:25:12","2022-10-25 20:57:12",,https://pulsedive.com/indicator/?iid=40001242,,Switzerland,CH,,
www.aosuyiybiube897yehi78.xyz,domain,low,,"2022-10-25 20:57:14","2022-10-25 20:57:14",,https://pulsedive.com/indicator/?iid=40475951,,Switzerland,CH,,
autoconfig.wesmailer.com,domain,unknown,,"2023-01-13 03:47:40","2023-01-13 03:47:40",,https://pulsedive.com/indicator/?iid=43619716,"REDACTED FOR PRIVACY","United States of America",US,,
hostmaster.alkoftenicocukadam.com,domain,unknown,,"2023-01-13 03:47:50","2023-01-13 03:47:50",,https://pulsedive.com/indicator/?iid=43619718,,,,,
alkoftenicocukadam.com,domain,unknown,,"2023-01-13 03:47:45","2023-01-13 03:47:45",,https://pulsedive.com/indicator/?iid=43619720,,,,,
hostmaster.finaljudgedomain.com,domain,unknown,,"2023-01-13 03:48:49","2023-01-13 03:48:49",,https://pulsedive.com/indicator/?iid=43619726,"REDACTED FOR PRIVACY","United States of America",US,,
hostmaster.hostmaster.manga-kensei.com,domain,unknown,,"2023-01-13 03:48:57","2023-01-13 03:48:57",,https://pulsedive.com/indicator/?iid=43619727,[privacy],[privacy],,[privacy],
hostmaster.hostmaster.exchange.toptechny.com,domain,unknown,,"2023-01-13 03:49:03","2023-01-13 03:49:03",,https://pulsedive.com/indicator/?iid=43619729,"REDACTED FOR PRIVACY","United States of America",US,,
hostmaster.manga-kensei.com,domain,unknown,,"2023-01-13 03:48:55","2023-01-13 03:48:55",,https://pulsedive.com/indicator/?iid=43619743,[privacy],[privacy],,[privacy],
hostmaster.hostmaster.hostmaster.exchange.toptechny.com,domain,unknown,,"2023-01-13 03:49:04","2023-01-13 03:49:04",,https://pulsedive.com/indicator/?iid=43619744,"REDACTED FOR PRIVACY","United States of America",US,,
exchange.toptechny.com,domain,unknown,,"2023-01-13 03:49:01","2023-01-13 03:49:01",,https://pulsedive.com/indicator/?iid=43619746,"REDACTED FOR PRIVACY","United States of America",US,,
hostmaster.exchange.toptechny.com,domain,unknown,,"2023-01-13 03:49:01","2023-01-13 03:49:01",,https://pulsedive.com/indicator/?iid=43619747,"REDACTED FOR PRIVACY","United States of America",US,,
correio.retrmailse.com,domain,unknown,,"2023-01-13 03:49:09","2023-01-13 03:49:09",,https://pulsedive.com/indicator/?iid=43619749,[privacy],[privacy],,[privacy],
